ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,high_performer
meta_ad_001,,Save 20% on Running Shoes Today,Limited-time offer on our best-selling running shoes. Free shipping on all orders.,Shop Now,facebook,,image,ecommerce,58210,913,124,834.71,0.015684590276584778,0.13581599123767799,0.914249726177437,6.731532258064516,1
meta_ad_002,,Organize Your Work in One Place,Our project management platform helps remote teams move faster with less chaos.,Start Free Trial,instagram,,image,saas,42135,214,31,289.5,0.005078913017681263,0.14485981308411214,1.352803738317757,9.338709677419354,0
meta_ad_003,,Master Data Analytics in 8 Weeks,Join our intensive online bootcamp and build a portfolio with real-world projects.,Apply Now,facebook,,video,education,30112,452,46,512.39,0.015010626992561105,0.10176991150442478,1.1336061946902654,11.13891304347826,1
meta_ad_004,,Fresh Deals on Home Office Gear,"Upgrade your desk setup with ergonomic chairs, standing desks, and accessories.",Shop Deals,facebook,,image,ecommerce,76544,1023,138,954.8,0.01336486204013378,0.1348973607038123,0.9333333333333332,6.918840579710144,0
meta_ad_005,,The CRM Built for Small Teams,"Track leads, automate follow-ups, and close more deals without complexity.",Book Demo,instagram,,video,saas,38950,198,22,314.27,0.005083440308087292,0.1111111111111111,1.587222222222222,14.284999999999998,0
meta_ad_006,,Launch Your First Online Store,"Everything you need to sell products, accept payments, and ship worldwide.",Get Started,facebook,,image,ecommerce,61200,735,97,780.1,0.012009803921568628,0.13197278911564625,1.061360544217687,8.042268041237113,0
meta_ad_007,,Level Up Your Python Skills,Hands-on course with weekly projects and 1:1 mentor feedback.,Enroll Today,instagram,,image,education,27640,389,41,398.64,0.014073806078147613,0.10539845758354756,1.0247814910025708,9.722926829268292,0
meta_ad_008,,Automate Your Reporting in Minutes,Connect your data sources and ship dashboards your team actually uses.,See It in Action,facebook,,video,saas,45510,265,29,352.18,0.005822896066798506,0.10943396226415095,1.3289811320754716,12.144137931034482,0
meta_ad_009,,Learn UX Design From Experts,"Portfolio-focused curriculum, live feedback, and community support.",Join the Program,facebook,,image,education,33289,402,37,427.55,0.012076061161344588,0.09203980099502487,1.0635572139303482,11.555405405405406,0
meta_ad_010,,Exclusive Deals on Fitness Gear,"Save on weights, mats, and accessories for your home workouts.",Shop Collection,instagram,,image,ecommerce,59330,856,102,821.09,0.014427776841395583,0.1191588785046729,0.9592172897196262,8.049901960784315,1
